№ п/п;Региональный Филиал;(А) Административный статус (рай.центр, обл.центр, пгт, сельское поселение и т.п.);(А) Наименование населенного пункта, адрес;(А) Сетевое имя устройства СПД;(А) Тип устройст СПД (DR, AR, L2 коммутатор опорной РСПД);(А) Модель шасси/Вендор;(B) Административный статус (рай.центр, обл.центр, пгт, сельское поселение и т.п.);(B) Наименование населенного пункта, адрес;(B) Сетевое имя устройства СПД;(B) Тип устройста (BRAS, BPE, RGR, DR, AR, L2 коммутатор опорной РСПД);(B) Модель шасси/Вендор;Емкость основного канала, Гбит/с;Утилизация основного канала в ЧНН, Гбит/с;Технология организации резервного канала (Нет, Прямые пачкорды, ВОЛС, ВОЛС кольцо, ВОЛС Аренда, DWDM, DWDM кольцо, CWDM, CWDM кольцо, РРЛ, SDH, , Аренда емкости);Емкость резервного канала, Гбит/с;Утилизация резервного канала в ЧНН, Гбит/с;Совокупная емкость каналов, Гбит/с;Совокупная уилизация каналов в ЧНН, Гбит/с;Совокупная уилизация каналов в ЧНН 4Q, %;Коэффициент резервирования;Коэффициент роста трафика на 4Q 2019г.;Прогнозная Совокупная уилизация каналов в ЧНН 4Q 2019г., Гбит/с;Прогнозная Совокупная уилизация каналов в ЧНН 4Q 2019г., %;Прогнозный Коэффициент резервирования 4Q 2019г.;Планируемые мероприятия по расширению;Комментарии;Совокупная утилизация каналов в ЧНН, Гбит/с;Совокупная утилизация каналов в ЧНН 4Q, %;;;;;
Столбец 1;Столбец 2;Столбец 3;Столбец 4;Столбец 5;Столбец 6;Столбец 7;Столбец 8;Столбец 9;Столбец 10;Столбец 11;Столбец 12;Столбец 13;Столбец 14;Столбец 15;Столбец 16;Столбец 17;Столбец 18;Столбец 19;Столбец 20;Столбец 21;Столбец 22;Столбец 23;Столбец 24;Столбец 25;Столбец 26;Столбец 27;;;;;;;
46;Ростовский филиал;Рай.центр;КАГАЛЬНИЦКАЯ;RoKgnKln96MX80;AR;MX80;Рай.центр;ЗЕРНОГРАД;RoZrnLenin34MX480;AR;MX480;10;0,763;DWDM;;;10;0,763;7,63;;;;;;;;;;;;;;
47;Ростовский филиал;Рай.центр;КАГАЛЬНИЦКАЯ;RoKgnKln96MX80;AR;MX80;Рай.центр;БАТАЙСК;RoBtsKrpsk4MX480;AR;MX480;10;0,953;DWDM;;;10;0,953;9,53;;;;;;;;;;;;;;
48;Ростовский филиал;Рай.центр;БЕЛАЯ КАЛИТВА;RoBlkVtrn6Mx480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960с;CR;MX960;10;1,17;DWDM;;;10;1,17;11,7;;;;;;;;;;;;;;
49;Ростовский филиал;Рай.центр;БЕЛАЯ КАЛИТВА;RoBlkVtrn6Mx480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960d;CR;MX960;10;1,38;DWDM;;;10;1,38;13,8;;;;;;;;;;;;;;
50;Ростовский филиал;Рай.центр;БЕЛАЯ КАЛИТВА;RoBlkVtrn6Mx480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960с;CR;MX960;10;1,97;DWDM;;;10;1,97;19,7;;;;;;;;;;;;;;
51;Ростовский филиал;Рай.центр;БЕЛАЯ КАЛИТВА;RoBlkVtrn6Mx480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960d;CR;MX960;10;1,23;DWDM;;;10;1,23;12,3;;;;;;;;;;;;;;
52;Ростовский филиал;Рай.центр;КАМЕНОЛОМНИ;RoKmnKln10mx80;AR;MX80;Рай.центр;ШАХТЫ;ROShkthKMrks106MX480;AR;MX480;10;2,36;ВОЛС;;;10;2,36;23,6;;;;;;;;;;;;;;
53;Ростовский филиал;Рай.центр;КАМЕНСК-ШАХТИНСКИЙ (Ворошилова 128);RoKShVrsh128Mx480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960с;CR;MX960;10;3,06;DWDM;;;10;3,06;30,6;;;;;;;;;;;;;;
54;Ростовский филиал;Рай.центр;КАМЕНСК-ШАХТИНСКИЙ (Ворошилова 128);RoKShVrsh128Mx480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960d;CR;MX960;10;1,29;DWDM;;;10;1,29;12,9;;;;;;;;;;;;;;
55;Ростовский филиал;Рай.центр;КАМЕНСК-ШАХТИНСКИЙ (Ворошилова 128);RoKShVrsh128Mx480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960с;CR;MX960;10;4,43;DWDM;;;10;4,43;44,3;;;;;;;;;;;;;;
