Места установки камер;Адрес объекта;Кол-во в/к;Тип в/к;Координаты расположения в/к;Пропускная способность, Мбит/с;Vlan;Агрегат ПМ;Порт ПМ;Коммутатор ПМ;Порт ПМ;Hostname;Примечание;;;;;;
Столбец 2;Столбец 3;Столбец 4;Столбец 5;Столбец 6;Столбец 7;Столбец 8;Столбец 9;Столбец 10;Столбец 11;Столбец 12;Столбец 13;;;;;;;
Парк имени М.Горького (в направлении трибун открытой сцены);ул. Б.Садовая, 45 (справа от открытой сцены на территории парка);1;стационарная;47.221635;39.710723;10;;;;;;;;;;;;
Парк имени М.Горького (В направлении парковки Администрации города);ул. Б.Садовая, 64 (опора напротив здания, рядом пекарня Синабон);1;стационарная;47.221028;39.712451;10;789;10.3.97.1;GE0/0/6;;;;;;;;;
Парк имени М.Горького (В направлении пешеходной зоны перед Администрацией города);ул. Б.Садовая, 45д (напротив памятника Байкову);1;стационарная;47.221043;39.711517;10;789;10.3.97.1;GE0/0/5;;;;;;;;;
Парк имени М.Горького (В направлении памятника Коробейнику и Золотого Колоса);ул. Б.Садовая, 43/32 (напротив памятника Коробейнику и рекламного щита);1;стационарная;47.220478;39.709036;10;798;10.3.97.1;GE0/0/4;;;;;;;;;
Пешеходная зона пер. Соборный (В направлении Б.Садовой и пер. Соборного);ул. Б.Садовая, 58/30 (под балконом находящимся над кафе Кетч Ап Бургерс);2;стационарная;47.220566;39.710659;20;789;10.3.120.1;GE0/0/10;;;;;;;;;
пл. Соборная и ул. Московская (В направлении зоны отдыха на соборном);ул. Московская, 51/15 (опора расположенная около здания);1;купольная;47.218347;39.711314;10;;;;;;;;;;;;
пл. Соборная и ул. Московская (В направлении памятника Д. Ростовскому);Соборном переулке 15/51 (опора расположенная рядом с пешеходным переходом);1;купольная;47.218035;39.711306;10;;;;;;;;;;;;
Центральный рынок (В направлении на северный левый вход в центральный рынок);ул. Московская, 52/54 (ориентир угол здания, со стороны входа в рынок);1;стационарная;47.217741;39.712466;10;;;;;;;;;;;;
Центральный рынок (В направлении на восточный вход в Центральный рынок);пер. Семашко, 18/48 (опора около жилого дома по ул. Обороны);1;стационарная;47.217553;39.714993;10;;;;;;;;;;;;
Центральный рынок (В направлении на южный вход в центральный рынок);ул. Тургеневская 36/18 (на жилом доме, около навесной конструкции);1;стационарная;47.216596;39.712946;10;;;;;;;;;;;;
Центральный рынок (В направлении северного входа в центральный рынок);пер. Станиславского, 58Б (на заборной конструкции рынка, ворота);1;стационарная;47.217175;39.710390;10;;;;;;;;;;;;
Центральный рынок (В направлении западного входа в рынок);пр. Буденовский, 12а/56 (опора напротив западного входа);1;стационарная;47.216506;39.709406;10;;;;;;;;;;;;
Центральный рынок (В направлении перекрестка и памятника Д.Ростовскому);ул. Станиславского 56/12 (на углу комплекса центрального рынка);2;стационарная;47.216939;39.709288;20;;;;;;;;;;;;
Центральный рынок (В направлении памятника Не вернувшимся казакам;пр. Буденновский, 43/13 (опора справа от выхода из подземного перехода);1;стационарная;47.217283;39.708435;10;;;;;;;;;;;;
Суд СКОВС (В направлении въезда на парковку здания суда);пр. М.Нагибина, 28 (опора находится на стороне суда, рядом с парковкой);1;стационарная;47.253633;39.714605;10;;;;;;;;;;;;
Суд СКОВС (В направлении входа в здание суда);пр. М.Нагибина, 29 (опора находится на противоположной от суда стороне);1;стационарная;47.253819;39.714342;10;;;;;;;;;;;;
Перекресток Пушкинская-Соколова (В направлении перекрестка);пр. Соколова, 33/135 (опора расположенная рядом с углом здания, рядом шкафы);1;стационарная;47.226465;39.719817;10;;;;;;;;;;;;
Перекресток Пушкинская-Соколова (В направлении перекрестка, с захватом камеры);пр. Соколова, 31/118 (светофор, рядом с углом здания);1;стационарная;47.226129;39.719945;10;;;;;;;;;;;;
Перекресток Пушкинская-Чехова (В направлении памятника А.П.Чехову);ул. Пушкинская, 151;1;стационарная;47.227072;39.722441;10;;;;;;;;;;;;
Перекресток Пушкинская-Чехова (В направлении проезда на ул. Пушкинской, 134/68);пр. Чехова, 59/132 (опора рядом с углом здания, на проезжей части);1;стационарная;47.226558;39.722694;10;;;;;;;;;;;;
Перекресток Пушкинская-Чехова (В направлении пр. Чехова, 59/132);пр. Чехова, 72/155 (опора на тротуаре, напротив угла здания);1;стационарная;47.227077;39.722640;10;;;;;;;;;;;;
Общежитие ЮРИУ РАНХиГС (В направлении входа в общежитие);ул. Пушкинская, 128 (козырек общежития, слева при входе);1;стационарная;47.226386;39.721785;10;;;;;;;;;;;;
Общежитие ЮРИУ РАНХиГС (В направлении входа в общежитие);ул. Пушкинская, 128 (козырек общежития, справа при входе);1;стационарная;47.226266;39.721205;10;;;;;;;;;;;;
Перекресток Пушкинская-Ворошиловский (В направлении памятника А.С.Пушкину и центра перекрестка);ул. Пушкинская, 102 (опора с троллейбусными линиями);2;стационарная;47.225372;39.717258;20;;;;;;;;;;;;
Перекресток Пушкинская-Ворошиловский (В направлении центра перекрестка);ул. Пушкинская, 123 (опора светофора, рядом с пешеходным переходом);1;стационарная;47.225855;39.717044;10;;;;;;;;;;;;
